certificate_holder,mark_number,quality_logo,Descriptions,certificate_scope,certificate_data,certificate_holder_address,Final_url
Adler Pelzer Holding GmbH,9000008965,https://www.certipedia.com/logos/000/420/948/9000008965_en.png?1614854477,"The certificate holder's Management System corresponds to standards:
          
              IATF 16949:2016
              ISO 14001:2015","IATF 16949:
        Contract Review, Engineering, Human Resource, Information Technologies, Internal Audit Management, Laboratory, Management Review, Policy Making, Process Design, Product Design, Purchasing, Quality System Management, R & D, Sales, Strategic Planning, Supplier Management, Testing
      
      
        ISO 14001:
        Development and manufacturing of multifunctional acoustic systems
      
      
        ISO 9001:
        Contract Review, Engineering, Human Resource, Information Technologies, Internal Audit Management, Laboratory, Management Review, Policy Making, Process Design, Product Design, Purchasing, Quality System Management, R & D, Sales, Strategic Planning, Supplier Management, Testing","Certificates for management system according to IATF 16949
Certificates for management system according to ISO 14001
Certificates for management system according to ISO 9001",Adler Pelzer Holding GmbHKabeler Str. 458099 HagenGermany,https://www.certipedia.com/quality_marks/9000008965?locale=en&certificate_number=01+111+2000460%2F109
Adler Pelzer Holding GmbH,9000008965,https://www.certipedia.com/logos/000/420/948/9000008965_en.png?1614854477,"The certificate holder's Management System corresponds to standards:
          
              IATF 16949:2016
              ISO 14001:2015","IATF 16949:
        Contract Review, Engineering, Human Resource, Information Technologies, Internal Audit Management, Laboratory, Management Review, Policy Making, Process Design, Product Design, Purchasing, Quality System Management, R & D, Sales, Strategic Planning, Supplier Management, Testing
      
      
        ISO 14001:
        Development and manufacturing of multifunctional acoustic systems
      
      
        ISO 9001:
        Contract Review, Engineering, Human Resource, Information Technologies, Internal Audit Management, Laboratory, Management Review, Policy Making, Process Design, Product Design, Purchasing, Quality System Management, R & D, Sales, Strategic Planning, Supplier Management, Testing","Certificates for management system according to IATF 16949
Certificates for management system according to ISO 14001
Certificates for management system according to ISO 9001",Adler Pelzer Holding GmbHKabeler Str. 458099 HagenGermany,https://www.certipedia.com/quality_marks/9000008965?locale=en&certificate_number=01+111+2000460%2F502
Adler Polska Sp. z o.o.,9000016243,https://www.certipedia.com,,"IATF 16949:
        Design and manufacture of sound and heat insulating matrerials and components",Certificates for management system according to IATF 16949,Adler Polska Sp. z o.o.ul. Konwojowa 1043-346 Bielsko-BialaPoland,https://www.certipedia.com/quality_marks/9000016243?locale=en&certificate_number=01+111+2100129%2F01
Adler Polska Sp. z o.o.,9000016243,https://www.certipedia.com,,"IATF 16949:
        Design and manufacture of sound and heat insulating matrerials and components",Certificates for management system according to IATF 16949,Adler Polska Sp. z o.o.ul. Konwojowa 1043-346 Bielsko-BialaPoland,https://www.certipedia.com/quality_marks/9000016243?locale=en&certificate_number=01+111+2100129
Adler Pelzer Holding GmbH,9000008965,https://www.certipedia.com/logos/000/420/948/9000008965_en.png?1614854477,"The certificate holder's Management System corresponds to standards:
          
              IATF 16949:2016
              ISO 14001:2015","IATF 16949:
        Contract Review, Engineering, Human Resource, Information Technologies, Internal Audit Management, Laboratory, Management Review, Policy Making, Process Design, Product Design, Purchasing, Quality System Management, R & D, Sales, Strategic Planning, Supplier Management, Testing
      
      
        ISO 14001:
        Development and manufacturing of multifunctional acoustic systems
      
      
        ISO 9001:
        Contract Review, Engineering, Human Resource, Information Technologies, Internal Audit Management, Laboratory, Management Review, Policy Making, Process Design, Product Design, Purchasing, Quality System Management, R & D, Sales, Strategic Planning, Supplier Management, Testing","Certificates for management system according to IATF 16949
Certificates for management system according to ISO 14001
Certificates for management system according to ISO 9001",Adler Pelzer Holding GmbHKabeler Str. 458099 HagenGermany,https://www.certipedia.com/quality_marks/9000008965?locale=en&certificate_number=01+111+2000460%2F306
Adler Pelzer Holding GmbH,9000008965,https://www.certipedia.com/logos/000/420/948/9000008965_en.png?1614854477,"The certificate holder's Management System corresponds to standards:
          
              IATF 16949:2016
              ISO 14001:2015","IATF 16949:
        Contract Review, Engineering, Human Resource, Information Technologies, Internal Audit Management, Laboratory, Management Review, Policy Making, Process Design, Product Design, Purchasing, Quality System Management, R & D, Sales, Strategic Planning, Supplier Management, Testing
      
      
        ISO 14001:
        Development and manufacturing of multifunctional acoustic systems
      
      
        ISO 9001:
        Contract Review, Engineering, Human Resource, Information Technologies, Internal Audit Management, Laboratory, Management Review, Policy Making, Process Design, Product Design, Purchasing, Quality System Management, R & D, Sales, Strategic Planning, Supplier Management, Testing","Certificates for management system according to IATF 16949
Certificates for management system according to ISO 14001
Certificates for management system according to ISO 9001",Adler Pelzer Holding GmbHKabeler Str. 458099 HagenGermany,https://www.certipedia.com/quality_marks/9000008965?locale=en&certificate_number=01+111+2000460%2F503
Adler Pelzer Holding GmbH,9000008965,https://www.certipedia.com/logos/000/420/948/9000008965_en.png?1614854477,"The certificate holder's Management System corresponds to standards:
          
              IATF 16949:2016
              ISO 14001:2015","IATF 16949:
        Contract Review, Engineering, Human Resource, Information Technologies, Internal Audit Management, Laboratory, Management Review, Policy Making, Process Design, Product Design, Purchasing, Quality System Management, R & D, Sales, Strategic Planning, Supplier Management, Testing
      
      
        ISO 14001:
        Development and manufacturing of multifunctional acoustic systems
      
      
        ISO 9001:
        Contract Review, Engineering, Human Resource, Information Technologies, Internal Audit Management, Laboratory, Management Review, Policy Making, Process Design, Product Design, Purchasing, Quality System Management, R & D, Sales, Strategic Planning, Supplier Management, Testing","Certificates for management system according to IATF 16949
Certificates for management system according to ISO 14001
Certificates for management system according to ISO 9001",Adler Pelzer Holding GmbHKabeler Str. 458099 HagenGermany,https://www.certipedia.com/quality_marks/9000008965?locale=en&certificate_number=01+111+2000460%2F303
ADMIRAL ENTERTAINMENT GmbH,9105066642,https://www.certipedia.com/logos/000/091/758/9105066642_en.png?1610013480,"The certificate holder's Management System corresponds to standards:
          
              ISO 9001:2015
              ISO 50001:2018","ISO 50001:
        Establishment of gaming centers. Installation and operation of gaming machines with associated services.
      
      
        ISO 9001:
        Establishment of gaming centers. Installation of slot machines in gaming centers and restaurants as well as technical services.
      
      
        Spielstätte:
        Regelmäßig geprüfte Spielstätte","Certificates for management system according to ISO 50001
Certificates for management system according to ISO 9001
Certificates for management system according to Spielstätte",ADMIRAL ENTERTAINMENT GmbHTheuerbach 3088630 PfullendorfGermany,https://www.certipedia.com/quality_marks/9105066642?locale=en&certificate_number=01+143+1501118%2F161
"Adix Ingeniería, S.L. Autovía de los Viñedos",9105068007,https://www.certipedia.com/logos/000/095/680/9105068007_en.png?1533637942,The certificate holder's Management System corresponds to standard ISO 9001:2015.,"ISO 9001:
        Engineering and manufacturing explosion protection systems",,"Adix Ingeniería, S.L.Autovía de los ViñedosVía servicio dirección Toledo, km.213700 TomellosoSpain",https://www.certipedia.com/quality_marks/9105068007?locale=en&certificate_number=0%2E04%2E11343
ADITUS Personaldienstleistungen GmbH,9000001944,https://www.certipedia.com,,"SCP:
        Personnel leasing of commercial and technical sectors",,ADITUSPersonaldienstleistungen GmbHQuerallee 247533 KleveGermany,https://www.certipedia.com/quality_marks/9000001944?locale=en&certificate_number=01+013+1900339
Aditya Institute of Management Stud & Research,9108655189,https://www.certipedia.com/logos/000/340/386/9108655189_en.png?1550034071,The certificate holder's Management System corresponds to standard ISO 9001:2015.,"ISO 9001:
        Providing Professional education in the field of Management studies.",,"Aditya Institute of Management Stud& ResearchAditya Educational Campus, R.M. Bhattad Road, Ram Nagar400092 Borivali, MumbaiIndia",https://www.certipedia.com/quality_marks/9108655189?locale=en&certificate_number=85+100+001+18219
